name,category,category_id,miles_per_azn,condition,image_url
Duty Free Az International,Parfumeriya və kosmetika,11,2,,https://miles.pashabank.az/sites/default/files/2024-10/duty_free_az_international_logo_02.png
Badamdar Hotel Chill Bar and Dine restoran,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2024-05/Badamdar_Restoran_logo_01.png
Badamdar Hotel Fitness&Spa,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2024-05/Badamdar_Fitness_Spa_logo_01.png
Medholding Klinika,Gözəllik və sağlamlıq,6,2,,https://miles.pashabank.az/sites/default/files/2024-04/medholding_klinika_logo_01.jpg
Ra Construction,Daşınmaz əmlak,18,0.25,Yalnız İpoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2024-04/ra_construction_logo_01.png
Sartoria Enzo,"Geyim, ayaqqabı və aksesuarlar",16,7,,https://miles.pashabank.az/sites/default/files/2024-04/sartoria_enzo_logo_01.png
Favorit Premium Market,Supermarketlər,8,0.5,,https://miles.pashabank.az/sites/default/files/2024-03/favorite_premium_market_logo_01.png
Polo Residence,Daşınmaz əmlak,18,0.25,Əlavə millər sahəsi 100 m² və daha artıq olan mənzillər üçün və yalnız şirkətin daxili krediti ilə mənzilin ilkin və ya tam qiyməti şəhər ofisində ödənildikdə hesablanır,https://miles.pashabank.az/sites/default/files/2023-11/Polo_Residences_logo_2.png
Delicates,Supermarketlər,8,1,,https://miles.pashabank.az/sites/default/files/2023-12/delicates_logo_01.png
Avenue Joaillerie,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2023-11/avenue_jovailler_logo_01.png
Beerbasha Səməd Vurğun,Kafe və restoranlar,7,1,Əlavə millər yalnız Səməd Vurğun pr-da olan filialda hesablanır,https://miles.pashabank.az/sites/default/files/2023-11/beerbasha_logo_51.png
Child Dreams,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2023-11/Child_Dreams_logo_01.png
Casa Baku,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2023-11/CASA_Baku_logo_01.png
High Park Residence,Daşınmaz əmlak,18,1,Yalnız İpoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2023-09/high_park_residence_logo_01.png
1ST Fitness,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2023-09/1st_fitness_logo_01.png
Weltew Home,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2023-09/weltew_home_logo_01.png
Merinos Home,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2023-09/merinos_home_logo_01_0.png
Galateya,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2023-06/galateya_logo_01.png
Lankaran Springs Wellness Resort,Turizm və otellər,14,0.5,,https://miles.pashabank.az/sites/default/files/2023-05/Lankaran_Springs_Wellness_Resort_logo_02.png
Chenot Palace Gabala,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Chenot_Palace_Gabala_logo_01.png
Garabagh Resort and SPA,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Garabagh_Resort_and_SPA_logo_01.png
Qalaalti Hotel and SPA,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Qalaalti_Hotel_and_SPA_logo_02.png
Gashalti Health Hotel Naftalan,Turizm və otellər,14,0.5,Əlavə millər yalnız POS-terminal ilə edilən ödənişlər üçün hesablanacaq,https://miles.pashabank.az/sites/default/files/2023-05/Gashalti_Health_Hotel_Naftalan_logo_01.jpg
STİ TRAVEL,Turizm və otellər,14,1,Əlavə mil toplanması aviabilet alışına şamil olunmur,https://miles.pashabank.az/sites/default/files/2023-05/sti_travel_logo_01.png
Laser Tag,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2023-05/laser_tag_logo_01.png
Solong,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2023-05/solong_logo_01.png
Syrovarnya,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2023-04/syrovarnya_logo_01.png
Novikov,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2023-04/novikov_logo_01.png
Sabah Residence,Daşınmaz əmlak,18,1,Yalnız İpoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2023-04/sabah_residence_logo_01.png
Faik Kerim Atelier,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2023-04/faik_kerim_logo_01.png
Kelebek,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2023-03/kelebek_logo_01.png
Knightsbridge Residence,Daşınmaz əmlak,18,1,Yalnız ipoteka üzrə ilkin ödənişə və birdəfəlik mənzil alışına şamil olunur,https://miles.pashabank.az/sites/default/files/2022-09/knightsbridge_residence_logo_01.png
Aloe+ pharm and beauty,Gözəllik və sağlamlıq,6,0.5,,https://miles.pashabank.az/sites/default/files/2022-06/aloe_apothek_chain_logo_01.png
Chic Chic,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2022-04/chic_chic_logo_01.jpg
Gallery 4 Kids,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2022-04/gallery4kids_logo_51.png
AVİS aptek,Gözəllik və sağlamlıq,6,0.5,,https://miles.pashabank.az/sites/default/files/2022-02/avis_aptek_logo_01.png
Bumblebee Montessori,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2021-12/bumblebee_montessori_logo_01.png
Bumblebee Play/Preschool,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2021-12/bumblebee_play_preschool_logo_01.png
Kinderland,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2021-12/kinderland_logo_01.png
Kinderland Shuvelan Mini,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2021-12/kinderland_shuvelan_mini_logo_01.png
Flash Kart,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2021-12/flashkart_logo_01.png
Amburan Kids,Əyləncə,17,1,,https://miles.pashabank.az/sites/default/files/2022-01/amburan_kids_logo_02.png
166 Yükdaşıma və Logistika,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2021-12/166_logo_01.png
insure.az,Sığorta,13,3.5,Millər yalnız həyat və səyahət sığortasına şamil olunur https://insure.az/,https://miles.pashabank.az/sites/default/files/2021-11/insure.az_logo_02.png
Senior Mansimo,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-10/senior_mansimo_logo_01.png
MyDriver,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2021-10/my_driver_logo_01.png
Doğtaş,Mebel,19,0.5,,https://miles.pashabank.az/sites/default/files/2021-09/dogtas_exclusive_logo_01.png
Caravan,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-09/caravan_logo_02.png
Resm Jewelry,"Geyim, ayaqqabı və aksesuarlar",16,1,,https://miles.pashabank.az/sites/default/files/2021-09/resm_jewelry_logo_01.png
Second Cup,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-05/Second_Cup_logo_01.png
Bagel Bar,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-05/Bagel_Bar_logo_02.png
Shakespeare,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-05/Shakespeare_logo_01.png
Seaside Restaurant,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-04/seaside_restaurant_logo_01.png
Baccanale,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-04/baccanale_logo_01.png
KLAPP Dermato-Kosmetoloji İnstitutu,Gözəllik və sağlamlıq,6,1,,https://miles.pashabank.az/sites/default/files/2021-04/klapp_logo_01.png
The House Café,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2021-04/the_house_cafe_logo_01.png
ZOO DRUG,Digər,15,1,,https://miles.pashabank.az/sites/default/files/2021-02/zoo_drug_logo_01.png
T Bakery,Kafe və restoranlar,7,2,,https://miles.pashabank.az/sites/default/files/2020-09/t_bakery_logo_01.png
Kontakt Home,Elektronika və məişət texnikası,4,1,Əlavə millər kredit ödənişlərində hesablanmır.,https://miles.pashabank.az/sites/default/files/2020-06/Kontakt_Home_logo_02.png
Vapiano Baku,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2020-03/vapiano_logo_01.png
Cookshop,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2020-02/cookshop_logo_01.png
Salam Baku,Kafe və restoranlar,7,2,,https://miles.pashabank.az/sites/default/files/2020-01/salam_baku_logo_01.png
Amazon Travel,Turizm və otellər,14,1,,https://miles.pashabank.az/sites/default/files/2020-01/Amazon_Travel_logo_01.png
189 TAXI,Digər,15,1,Yalnız 189 Taxi mobil əlavəsi ilə keçərlidir,https://miles.pashabank.az/sites/default/files/2020-01/189_logo_02.png
Bouquet,Digər,15,0.5,,https://miles.pashabank.az/sites/default/files/2019-12/bouquet_logo_01.png
İrşad Electronics,Elektronika və məişət texnikası,4,1,,https://miles.pashabank.az/sites/default/files/2019-12/logo_irshad_electronics_01.png
Novbahar,Kafe və restoranlar,7,2.5,,https://miles.pashabank.az/sites/default/files/2019-09/novbahar_logo_01.png
Ultralab,Gözəllik və sağlamlıq,6,2,,https://miles.pashabank.az/sites/default/files/2019-09/ultralab_logo_01.png
Ay Qonşu,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2019-08/logo_ay_qon_shu_01.png
Müasir Diaqnostika,Gözəllik və sağlamlıq,6,2,,https://miles.pashabank.az/sites/default/files/2019-07/logo_Muasir_diaqnostika_01.png
Azercell Telekom,Mobil,9,1,Yalnız roaming xidmətlərində / mil hesablamaları ay ərzində bir dəfə reallaşır,https://miles.pashabank.az/sites/default/files/2020-04/Azercell_logo_roaming_02.png
Zakura,Kafe və restoranlar,7,2.5,,https://miles.pashabank.az/sites/default/files/2019-09/zakura_logo_01.png
B&G store,"Geyim, ayaqqabı və aksesuarlar",16,2,,https://miles.pashabank.az/sites/default/files/2019-09/logo_b_g_store_01.png
Sağlam Ailə,Gözəllik və sağlamlıq,6,2,,https://miles.pashabank.az/sites/default/files/2019-07/logo_Saglam_aile_01.png
MCDonalds Azerbaijan,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2019-07/mcdonalds_logo_01.png
Darçın Aptek,Digər,15,0.5,,https://miles.pashabank.az/sites/default/files/2019-12/Darcin_aptek_logo_01.png
Günaydın,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2019-08/logo_Gunaydin_01.png
SOCAR PETROLEUM QSC,Yanacaqdoldurma stansiyaları,12,1,,https://miles.pashabank.az/sites/default/files/2019-07/logo_SOCAR_Petroleum_01.png
150 Bar & Grill,Kafe və restoranlar,7,1,,https://miles.pashabank.az/sites/default/files/2019-08/logo_150_bar_grill_01.png
Neptun Supermarketlər Şəbəkəsi,Supermarketlər,8,0.25,,https://miles.pashabank.az/sites/default/files/2019-07/logo_Neptun_supermarket_01.png
